,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,room_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
3174,20001,89.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,2.0,22,52,82,357
3175,20010,80.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,moderate,f,1,1,30,2,Washington,2.0,11,41,71,346
3176,20010,300.0,8,2.0,3.0,6.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,18,26,22,1,Washington,1.3333333333333333,10,34,57,313
3177,20010,105.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,3,3,16,2,Washington,2.0,0,30,60,335
3178,20009,115.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,3,Washington,2.0,30,60,90,365
3179,20009,140.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,2,2,4,1,Washington,3.0,10,23,53,143
3180,20010,50.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,8,1,Washington,2.0,0,0,0,264
3181,20009,90.0,4,1.0,0.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,14,2,Washington,4.0,0,5,25,271
3182,20010,140.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Entire home/apt,strict,f,5,5,19,3,Washington,2.0,7,13,40,315
3183,20009,110.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,strict,f,2,2,10,1,Washington,2.0,10,26,56,331
3184,20010,199.0,8,2.5,3.0,3.0,Real Bed,f,t,House,Entire home/apt,strict,f,2,2,0,1,Washington,2.6666666666666665,0,3,33,308
3185,20009,85.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Private room,flexible,f,1,1,0,7,Washington,2.0,0,0,0,148
3186,20010,110.0,2,1.5,0.0,1.0,Pull-out Sofa,f,f,Bed & Breakfast,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,0,0,0,108
3187,20010,125.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,0,1,Washington,2.0,17,47,77,352
3188,20001,95.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,2,0,1,Washington,2.0,0,0,0,30
3189,20009,99.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,3,3,77,2,Washington,3.0,19,49,79,354
3190,20010,129.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,10,2,Washington,3.0,0,0,6,6
3191,20010,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,5,5,0,1,Washington,2.0,13,43,73,348
3192,20009,115.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,0,2,Washington,2.0,0,0,0,105
3193,20010,149.0,4,1.0,3.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,t,1,1,33,1,Washington,2.0,10,11,41,131
3194,20001,135.0,2,1.5,1.0,1.0,Real Bed,t,t,Bed & Breakfast,Private room,strict,t,5,5,2,2,Washington,2.0,25,55,85,360
3195,20010,325.0,8,1.5,4.0,4.0,Real Bed,t,t,House,Entire home/apt,strict,f,1,1,23,2,Washington,2.0,0,3,7,7
3196,20009,100.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,1,0,2,Washington,2.0,16,44,74,349
3197,20010,79.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Private room,flexible,f,1,1,3,1,Washington,2.0,0,0,0,114
3198,20010,95.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Private room,moderate,f,1,1,3,2,Washington,2.0,17,47,77,349
3199,20009,200.0,4,2.0,2.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,0,1,Washington,4.0,30,60,90,365
3200,20009,375.0,7,2.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,0,3,Washington,2.3333333333333335,29,59,89,89
3201,20001,75.0,2,2.5,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,76,2,Washington,2.0,6,28,57,332
3202,20009,114.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,16,46,76,349
3203,20009,115.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,3,2,Washington,2.0,0,5,5,81
3204,20010,2000.0,6,2.0,3.0,6.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,0,1,Washington,1.0,0,0,0,0
3205,20010,200.0,4,1.5,2.0,2.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,2,2,Washington,2.0,13,43,73,348
3206,20010,89.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,1,1,8,1,Washington,1.0,0,28,58,304
3207,20009,150.0,6,2.0,2.0,2.0,Real Bed,f,f,Condominium,Entire home/apt,flexible,f,1,1,0,2,Washington,3.0,30,60,90,365
3208,20010,150.0,4,2.5,3.0,2.0,Real Bed,f,f,House,Entire home/apt,moderate,f,1,1,1,4,Washington,2.0,0,0,0,266
3209,20010,85.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,7,2,Washington,3.0,0,5,5,279
3210,20010,175.0,6,1.0,2.0,5.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,18,26,11,1,Washington,1.2,9,34,59,149
3211,20010,70.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Private room,moderate,f,2,2,122,2,Washington,1.5,4,34,64,339
3212,20009,99.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,1,1,22,1,Washington,2.0,13,43,73,187
3213,20010,125.0,5,2.0,2.0,2.0,Real Bed,t,f,Apartment,Entire home/apt,strict,t,1,1,49,2,Washington,2.5,5,5,5,248
3214,20010,49.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,strict,f,2,3,3,1,Washington,2.0,22,52,82,176
3215,20017,79.0,5,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,22,25,5,3,Washington,2.5,17,45,75,350
