,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,room_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
0,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,House,Entire home/apt,flexible,f,18,26,0,1,Washington,2.0,0,0,8,283
1,20003,350.0,6,3.0,3.0,3.0,Real Bed,f,f,House,Entire home/apt,strict,f,1,1,65,2,Washington,2.0,12,38,68,343
2,20782,50.0,1,2.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,2,1,2,Hyattsville,1.0,0,30,60,60
3,20024,95.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
4,20910,50.0,4,1.0,1.0,1.0,Real Bed,f,t,Townhouse,Entire home/apt,flexible,f,1,1,0,7,Silver Spring,4.0,16,46,76,351
5,20024,99.0,4,1.0,2.0,4.0,Real Bed,f,t,Boat,Entire home/apt,flexible,f,1,1,0,1,Washington,1.0,26,56,86,361
6,20012,100.0,4,2.0,2.0,2.0,Real Bed,f,t,Condominium,Entire home/apt,flexible,f,1,1,0,3,Washington,2.0,13,13,17,21
7,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
8,20743,38.0,2,1.5,1.0,1.0,Real Bed,f,f,House,Private room,moderate,t,1,8,1,2,Capitol Heights,2.0,25,55,85,360
10,20912,97.0,4,1.5,2.0,2.0,Real Bed,f,f,House,Entire home/apt,moderate,f,1,1,5,4,Takoma Park,2.0,0,0,3,3
11,20910,55.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,1,3,Silver Spring,1.0,0,0,0,0
12,20910,50.0,2,1.0,1.0,1.0,Real Bed,f,f,Condominium,Private room,flexible,f,1,1,0,2,Silver Spring,2.0,30,60,90,365
13,20910,99.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,7,0,7,Silver Spring,2.0,30,60,90,339
15,20712,52.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,1,1,Mount Rainier,2.0,24,54,84,359
16,20782,23.0,1,1.0,1.0,1.0,Real Bed,f,f,Condominium,Private room,flexible,t,1,1,1,1,Hyattsville,1.0,3,28,58,333
17,20910,200.0,2,1.0,1.0,2.0,Real Bed,f,f,Apartment,Shared room,flexible,f,1,1,0,1,Silver Spring,1.0,28,58,88,363
18,20712,40.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,0,1,Mount Rainier,2.0,0,0,0,0
19,20912,135.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,Private room,moderate,f,2,3,0,1,Takoma Park,2.0,30,60,90,365
20,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,moderate,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
21,20912,225.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,Private room,moderate,f,2,3,0,1,Takoma Park,2.0,30,60,90,365
22,20912,129.0,7,3.0,4.0,3.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,0,14,Takoma Park,2.3333333333333335,0,0,30,120
23,20008,149.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,Entire home/apt,strict,f,1,1,46,3,Washington,1.0,0,8,8,18
24,20005,150.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,2,2,84,2,Washington,2.0,16,46,76,351
25,20005,175.0,4,1.5,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,25,1,Washington,4.0,26,56,86,361
26,20001,239.0,3,1.0,2.0,2.0,Real Bed,f,t,House,Entire home/apt,strict,f,1,1,4,5,Washington,1.5,10,40,70,345
27,20001,65.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,2,2,Washington,2.0,6,33,63,63
28,20001,71.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,moderate,f,1,1,83,2,Washington,2.0,10,23,49,319
29,20001,80.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,t,3,3,19,1,Washington,2.0,9,34,64,123
30,20001,250.0,4,2.5,1.0,3.0,Real Bed,f,t,House,Private room,strict,f,3,3,94,1,Washington,1.3333333333333333,14,35,65,340
31,20001,138.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,4,5,47,1,Washington,2.0,30,60,90,365
32,20001,94.0,2,1.0,1.0,1.0,Real Bed,t,f,House,Private room,moderate,f,1,1,150,2,Washington,2.0,6,26,41,308
33,20001,283.0,5,2.5,2.0,2.0,Real Bed,t,t,Loft,Entire home/apt,moderate,f,1,2,15,3,Washington,2.5,0,0,22,297
34,20005,127.0,3,1.0,1.0,3.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,3,Washington,1.0,0,0,0,0
35,20001,79.0,6,1.0,1.0,3.0,Real Bed,f,f,Townhouse,Private room,strict,f,2,2,69,1,Washington,2.0,21,46,76,349
36,20001,110.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,3.0,0,0,0,62
37,20001,38.0,6,1.0,1.0,6.0,Real Bed,f,f,Dorm,Shared room,flexible,t,3,3,2,1,Washington,1.0,28,58,88,363
38,20009,480.0,9,2.5,3.0,5.0,Real Bed,f,t,House,Entire home/apt,strict,f,27,30,5,3,Washington,1.8,7,29,55,325
39,20005,372.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,33,3,Washington,2.0,1,21,51,326
40,20001,125.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,t,1,1,11,1,Washington,1.5,9,27,57,57
41,20005,89.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,moderate,f,1,1,3,1,Washington,2.0,12,41,71,161
42,20001,80.0,1,1.0,1.0,1.0,Airbed,f,t,Apartment,Shared room,moderate,f,2,2,5,1,Washington,1.0,25,55,85,360
43,20001,90.0,5,1.0,0.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,27,30,29,3,Washington,1.6666666666666667,11,31,38,313
44,20001,110.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,4,4,32,2,Washington,1.5,13,40,70,345
45,20001,100.0,3,1.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,1,3,Washington,1.0,0,0,0,0
46,20009,250.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,15,1,Washington,2.0,3,3,10,41
47,20032,55.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,5,5,0,1,Washington,1.0,30,60,90,364
48,20032,55.0,3,1.0,1.0,2.0,Real Bed,f,t,House,Private room,strict,f,5,5,5,1,Washington,1.5,27,57,87,362
49,20032,400.0,2,1.0,1.0,1.0,Airbed,f,t,Apartment,Entire home/apt,moderate,f,1,1,0,2,Washington,2.0,30,60,90,365
50,20032,35.0,1,1.0,1.0,1.0,Futon,f,t,House,Private room,strict,f,5,5,0,1,Washington,1.0,25,55,85,360
51,20032,160.0,4,2.0,2.0,2.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,1,5,2,Washington,2.0,0,0,0,0
52,20032,130.0,4,2.5,2.0,2.0,Real Bed,f,t,Townhouse,Entire home/apt,strict,f,2,2,1,2,Washington,2.0,11,41,71,346
53,20032,50.0,1,1.0,1.0,1.0,Real Bed,f,t,Townhouse,Private room,flexible,f,1,1,0,1,Washington,1.0,20,43,54,194
54,20032,150.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
55,20032,40.0,2,1.5,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,9,1,Washington,2.0,0,0,0,267
56,20032,45.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,5,5,0,1,Washington,2.0,26,56,86,354
57,20032,55.0,2,2.5,1.0,1.0,Real Bed,f,t,Townhouse,Private room,strict,f,2,2,0,2,Washington,2.0,10,40,70,345
58,20032,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,30,60,90,365
59,20020,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,2,2,4,1,Washington,2.0,3,3,21,296
60,20032,94.0,4,1.5,1.0,1.0,Real Bed,t,t,House,Private room,flexible,f,3,4,18,1,Washington,4.0,26,56,86,361
61,20020,65.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,2,2,2,1,Washington,1.0,1,31,61,336
62,20032,64.0,5,1.5,1.0,1.0,Real Bed,t,t,House,Private room,flexible,t,3,4,115,1,Washington,5.0,1,31,61,336
63,20020,59.0,2,1.0,1.0,1.0,Real Bed,f,t,Townhouse,Private room,strict,f,1,1,18,1,Washington,2.0,19,48,78,353
65,20032,74.0,3,1.5,1.0,1.0,Real Bed,t,t,House,Private room,flexible,t,3,4,33,1,Washington,3.0,1,31,61,336
66,20020,69.0,3,1.0,1.0,1.0,Real Bed,f,f,House,Private room,strict,t,2,2,8,1,Washington,3.0,22,48,78,353
67,20020,49.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,5,5,1,1,Washington,1.0,21,51,81,356
68,20020,60.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Private room,flexible,f,1,1,0,1,Washington,2.0,30,59,89,364
69,20020,69.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,strict,t,2,2,19,1,Washington,2.0,13,43,73,348
70,20003,157.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,Entire home/apt,moderate,f,1,1,3,2,Washington,2.0,10,35,65,324
71,20003,128.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,9,1,Washington,3.0,5,18,37,301
72,20003,135.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,6,6,Washington,2.0,6,30,45,138
73,20003,90.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,6,2,Washington,2.0,0,22,52,327
74,20003,102.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,6,5,Washington,2.0,5,30,60,335
75,20003,99.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,1,Washington,3.0,17,17,17,22
76,20003,195.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,0,0,0,167
77,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,59,1,Washington,2.0,12,42,72,347
78,20003,95.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,strict,f,2,2,1,1,Washington,2.0,16,16,16,287
79,20003,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,t,1,1,0,1,Washington,2.0,2,11,19,294
80,20003,249.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,2,0,2,Washington,2.0,0,30,60,150
81,20003,88.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,1,3,Washington,2.0,1,1,1,25
82,20003,90.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,t,1,1,2,1,Washington,2.0,0,0,0,0
84,20003,125.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,f,3,3,0,1,Washington,2.0,1,30,30,30
85,20003,85.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,1,145,3,Washington,2.0,9,39,69,344
86,20003,400.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,0,1,Washington,1.5,5,35,65,340
87,20003,120.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,Private room,flexible,t,1,1,8,2,Washington,2.0,29,59,89,364
88,20019,215.0,10,2.0,4.0,4.0,Real Bed,f,t,House,Entire home/apt,strict,f,3,3,29,2,Washington,2.5,19,44,69,343
89,20019,90.0,2,0.5,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,2,Washington,2.0,28,58,88,363
90,20019,50.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,moderate,f,1,1,23,2,Washington,2.0,8,32,52,324
91,20019,100.0,5,1.0,1.0,2.0,Real Bed,f,t,House,Private room,flexible,f,1,1,12,1,Washington,2.5,5,31,61,336
92,20019,65.0,4,2.0,2.0,2.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,0,1,Washington,2.0,0,0,0,29
93,20019,55.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,2,2,4,2,Washington,2.0,21,51,81,356
94,20019,129.0,8,2.5,3.0,1.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,1,58,1,Washington,8.0,5,19,33,173
95,20019,45.0,1,1.0,1.0,1.0,Futon,f,f,House,Private room,flexible,f,2,2,4,1,Washington,1.0,0,0,0,275
96,20005,299.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,34,3,Washington,2.5,13,39,69,159
97,20005,309.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,8,4,Washington,2.5,21,51,81,356
98,21403,375.0,7,1.0,2.0,4.0,Real Bed,f,f,Boat,Entire home/apt,flexible,f,1,2,0,1,Annapolis,1.75,30,60,90,365
99,20001,180.0,4,2.0,2.0,3.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,2,2,48,7,Washington,1.3333333333333333,6,35,35,308
100,20005,149.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,t,1,3,32,3,Washington,4.0,2,29,59,334
101,20268,337.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,19,206,6,3,Washington,1.6666666666666667,13,42,42,42
102,20001,299.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,7,3,Washington,2.0,25,55,85,360
103,20001,249.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,6,4,Washington,3.0,30,60,90,365
104,20001,126.0,3,1.5,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,1,5,2,Washington,3.0,14,21,51,326
105,20005,99.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,1,1,Washington,2.0,13,13,13,13
106,20001,299.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,2,3,Washington,2.0,30,60,90,365
107,20001,199.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,1,7,Washington,2.0,29,59,89,89
108,20001,89.0,3,1.0,1.0,3.0,Real Bed,f,t,Apartment,Shared room,moderate,t,1,1,1,1,Washington,1.0,0,0,0,275
109,20001,165.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,1,0,1,Washington,2.0,30,60,90,365
110,20001,309.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,1,4,Washington,2.0,30,60,90,365
111,20001,115.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,1,0,1,Washington,2.0,0,0,30,305
112,20005,130.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,2,85,1,Washington,2.0,0,10,21,21
113,20001,95.0,2,2.0,1.0,1.0,Real Bed,f,f,Apartment,Private room,flexible,f,1,1,0,1,Washington,2.0,2,32,62,337
114,20001,50.0,1,1.0,1.0,1.0,Real Bed,f,f,Apartment,Shared room,moderate,f,1,1,6,2,Washington,1.0,0,0,0,89
115,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
116,20001,55.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,0,20,Washington,1.0,30,60,90,365
117,20001,49.0,2,1.5,1.0,1.0,Real Bed,f,t,House,Shared room,strict,t,3,3,3,1,Washington,2.0,8,8,8,280
118,20001,250.0,4,1.0,2.0,2.0,Real Bed,f,t,Loft,Entire home/apt,strict,f,22,25,4,3,Washington,2.0,19,45,75,350
120,20001,311.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,19,206,3,3,Washington,1.6666666666666667,15,45,45,45
121,20001,95.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,1,35,2,Washington,2.0,1,16,46,49
122,20001,59.0,1,1.0,1.0,2.0,Real Bed,f,t,Apartment,Shared room,moderate,t,1,1,1,1,Washington,0.5,14,41,71,346
123,20004,167.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,2,31,5,Washington,2.0,12,38,68,343
124,20001,165.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,2,0,1,Washington,3.0,0,0,0,138
125,20001,104.0,3,1.5,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,4,4,11,2,Washington,3.0,12,39,69,344
127,20001,159.0,4,1.0,1.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,2,17,0,1,Washington,1.3333333333333333,25,55,85,360
128,20001,190.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,t,1,1,13,3,Washington,2.0,0,7,14,129
129,20005,246.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,19,206,0,3,Washington,1.5,27,57,57,57
130,20001,200.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,14,2,Washington,1.5,1,11,36,305
131,20005,215.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,34,1,Washington,1.5,22,48,78,353
132,20001,450.0,4,2.0,2.0,2.0,Real Bed,f,f,Condominium,Entire home/apt,moderate,f,1,1,0,1,Washington,2.0,30,60,90,365
133,20005,234.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,16,190,0,3,Washington,3.0,30,60,90,365
134,20001,110.0,2,1.5,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,4,4,33,2,Washington,2.0,13,40,70,345
135,20001,225.0,4,2.0,2.0,2.0,Real Bed,f,f,Apartment,Entire home/apt,moderate,t,1,1,0,3,Washington,2.0,7,30,60,335
136,20001,249.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,4,4,Washington,3.0,30,60,90,365
137,20005,109.0,2,1.0,1.0,1.0,Real Bed,f,t,Condominium,Entire home/apt,flexible,f,1,1,0,1,Washington,2.0,0,30,60,60
138,20001,250.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,1,3,Washington,2.0,0,0,0,53
139,20001,135.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,2,2,Washington,4.0,0,0,0,182
140,20001,87.0,3,2.0,1.0,2.0,Real Bed,f,t,Apartment,Private room,strict,f,1,1,2,2,Washington,1.5,22,52,82,357
141,20001,210.0,4,1.0,1.0,1.0,Pull-out Sofa,f,f,Apartment,Entire home/apt,strict,f,5,5,103,1,Washington,4.0,8,38,68,343
142,20001,300.0,10,2.0,3.0,6.0,Real Bed,f,t,House,Entire home/apt,strict,t,2,2,5,3,Washington,1.6666666666666667,11,27,48,299
143,20001,189.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,0,4,Washington,2.0,8,38,68,343
144,20001,120.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,0,1,"Washington, D.C.",2.0,0,0,0,273
145,20001,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,0,10,10,285
146,20005,269.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,2,6,1,Washington,1.5,4,29,55,145
147,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,16,190,0,3,Washington,3.0,30,60,90,365
148,20001,120.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,2,2,3,1,Washington,2.0,0,4,30,305
149,20001,109.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,Private room,moderate,f,2,2,1,2,Washington,1.0,0,0,0,273
150,20005,150.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,4,2,Washington,3.0,0,0,0,99
151,20001,95.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,4,4,70,2,Washington,3.0,6,24,54,323
152,20005,119.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,1,1,0,1,Washington,2.0,2,2,2,2
153,20001,97.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,2,1,Washington,2.0,18,48,78,353
154,20001,99.0,2,1.0,1.0,1.0,Pull-out Sofa,f,t,Loft,Private room,moderate,f,1,1,51,1,Washington,2.0,24,54,84,84
155,20001,295.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,Entire home/apt,strict,f,1,1,28,1,Washington,2.0,21,43,71,346
156,20001,149.0,2,1.0,1.0,1.0,Real Bed,f,t,Loft,Entire home/apt,flexible,f,1,1,9,2,Washington,2.0,7,24,54,329
157,20001,110.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,t,1,1,10,1,Washington,2.0,12,42,72,330
158,20001,180.0,5,1.0,2.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,1,2,Washington,1.6666666666666667,11,35,65,335
159,20001,150.0,2,1.0,0.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,3,3,Washington,1.0,19,49,79,169
160,20001,150.0,6,1.0,0.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,27,30,24,3,Washington,2.0,12,33,59,334
161,20001,155.0,5,2.5,2.0,2.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,1,1,23,2,Washington,2.5,0,0,0,0
162,20001,85.0,3,1.0,1.0,2.0,Real Bed,t,t,Apartment,Private room,strict,f,1,1,338,3,Washington,1.5,2,8,20,209
163,20005,130.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,4,1,Washington,2.0,0,3,33,302
164,20001,120.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,3,1,Washington,3.0,1,1,11,14
165,20001,90.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,moderate,f,1,1,12,2,Washington,2.0,15,43,73,348
166,20001,149.0,2,1.0,1.0,2.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,47,1,Washington,1.0,11,25,36,255
167,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
168,20001,180.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,moderate,f,1,1,6,1,Washington,4.0,0,3,9,284
169,20037,55.0,1,1.0,1.0,1.0,Real Bed,f,f,Apartment,Shared room,flexible,f,1,1,1,1,Washington,1.0,0,0,0,84
170,20001,229.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,6,29,2,Washington,4.0,5,18,48,323
171,20001,75.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,flexible,f,1,1,2,1,Washington,2.0,13,13,13,26
172,20005,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
173,20005,105.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,245,1,Washington,2.0,2,6,25,267
174,20001,259.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,3,4,Washington,2.0,30,60,90,365
175,20001,120.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,1,2,Washington,2.0,0,3,3,3
176,20001,119.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,3,5,Washington,1.5,0,0,0,0
177,20005,139.0,2,1.5,1.0,1.0,Real Bed,f,t,Condominium,Entire home/apt,moderate,f,1,1,0,1,Washington,2.0,0,1,30,114
178,20001,90.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,strict,f,2,2,0,1,Washington,1.0,26,56,86,361
179,20005,109.0,1,1.0,1.0,1.0,Real Bed,f,f,House,Private room,moderate,f,2,2,34,3,Washington,1.0,9,36,66,341
180,20001,150.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,flexible,f,1,1,25,2,Washington,2.0,13,40,70,345
181,20001,295.0,5,1.0,0.0,3.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,27,30,45,3,Washington,1.6666666666666667,4,25,55,330
182,20001,210.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,5,5,57,1,Washington,3.0,6,30,60,335
183,20001,329.0,6,1.5,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,27,30,21,3,Washington,3.0,18,40,70,345
184,20001,125.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,0,2,Washington,2.0,0,0,0,11
185,20001,150.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,1,1,Washington,2.0,19,49,75,350
186,20009,175.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,139,2,Washington,1.5,3,23,48,270
187,20001,129.0,3,1.0,1.0,2.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,t,1,1,7,1,Washington,1.5,0,0,0,41
188,20001,239.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,super_strict_30,f,5,480,0,5,Washington,2.0,30,60,90,365
189,20001,250.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,1,2,17,2,Washington,2.0,18,48,78,353
190,20005,168.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,4,4,136,1,Washington,2.0,2,23,53,328
191,20001,79.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,strict,f,1,1,2,2,Washington,2.0,9,25,34,36
