,id,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,minimum_nights,maximum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,host_since_year,host_response_rate_buckets,host_verifications_email,host_verifications_ phone,host_verifications_ reviews,host_verifications_ jumio,host_verifications_ facebook,host_verifications_ kba,host_verifications_ linkedin,host_verifications_ google,host_verifications_phone,host_verifications_ manual_offline,amenities_Air Conditioning,amenities_Heating,amenities_Wireless Internet,amenities_Kitchen,amenities_Smoke Detector,amenities_Washer,amenities_Dryer,amenities_Internet,amenities_Essentials,amenities_TV,extra_people_fee
14,295346,within an hour,f,9,t,f,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,60.0,1,2,1125,26,2,90.0,10.0,9.0,9.0,8.0,10.0,10.0,t,flexible,t,t,2,2011,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
15,8479636,within a few hours,f,1,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,52.0,2,1,1125,24,1,80.0,10.0,8.0,10.0,10.0,10.0,10.0,f,flexible,f,f,1,2015,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
16,2310297,within an hour,f,1,t,f,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,23.0,1,1,1125,3,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,f,f,1,2014,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,8519782,within an hour,f,1,t,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,40.0,1,1,1125,0,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,moderate,f,f,1,2012,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20,8485995,within an hour,f,1,t,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,1,1,1125,30,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,moderate,f,f,1,2015,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,333613,within an hour,t,1,t,t,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,149.0,1,3,31,0,46,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,2011,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
24,1026034,within a few hours,t,2,t,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,2,2,365,16,84,99.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,t,t,2,2012,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,2486785,within a day,f,1,t,f,Apartment,Entire home/apt,4,1.5,1.0,1.0,Real Bed,175.0,2,1,1125,26,25,91.0,10.0,8.0,9.0,9.0,10.0,9.0,f,flexible,f,f,1,2014,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
26,1822257,within an hour,f,1,t,t,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,239.0,1,5,1125,10,4,100.0,9.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,1,2013,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,5220279,within a day,f,1,t,t,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,65.0,2,2,1125,6,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,1,2014,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
28,3419118,within a day,f,1,t,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,71.0,2,2,14,10,83,97.0,10.0,9.0,10.0,10.0,9.0,9.0,f,moderate,f,f,1,2014,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
29,805961,within an hour,f,3,t,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,80.0,1,1,1125,9,19,89.0,9.0,9.0,9.0,9.0,9.0,9.0,t,moderate,f,f,3,2012,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
30,3362,within a few hours,f,3,t,t,House,Private room,4,2.5,1.0,3.0,Real Bed,250.0,2,1,730,14,94,95.0,9.0,9.0,10.0,10.0,8.0,9.0,f,strict,f,f,3,2008,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
31,93551,within an hour,f,5,t,t,House,Private room,2,1.0,1.0,1.0,Real Bed,138.0,1,1,365,30,47,92.0,9.0,8.0,10.0,10.0,8.0,9.0,f,moderate,t,t,4,2011,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
32,68962,within a few hours,t,1,t,f,House,Private room,2,1.0,1.0,1.0,Real Bed,94.0,1,2,21,6,150,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,t,t,1,2011,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,3469191,within a few hours,t,2,t,t,Loft,Entire home/apt,5,2.5,2.0,2.0,Real Bed,283.0,4,3,1125,0,15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,2012,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,6778286,within a few hours,f,1,t,f,Apartment,Entire home/apt,3,1.0,1.0,3.0,Real Bed,127.0,1,3,16,0,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,flexible,f,f,1,2015,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
