,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
1816,20012,68.0,2,1.0,1.0,1.0,Real Bed,t,t,House,flexible,f,1,1,29,2,Washington,2.0,26,56,86,361
1817,20011,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,1,1,2,1,Washington,2.0,13,43,73,163
1822,20012,65.0,2,1.0,1.0,1.0,Real Bed,t,t,House,flexible,f,1,1,28,2,Washington,2.0,7,22,51,326
1823,20012,76.0,3,1.0,1.0,2.0,Real Bed,t,t,House,moderate,f,1,1,38,3,Washington,1.5,18,48,78,353
1827,20011,55.0,1,1.0,1.0,1.0,Futon,f,t,House,moderate,f,2,2,14,3,Washington,1.0,24,54,84,359
1831,20012,65.0,1,1.0,1.0,1.0,Real Bed,t,t,House,strict,f,3,3,7,1,Washington,1.0,0,0,0,154
1832,20012,82.0,3,1.0,1.0,2.0,Real Bed,f,t,House,strict,f,1,4,0,1,Washington,1.5,30,60,90,365
1833,20011,80.0,2,1.0,1.0,1.0,Real Bed,f,f,House,strict,f,2,2,4,1,Washington,2.0,23,45,75,350
1835,20011,71.0,3,3.5,1.0,1.0,Real Bed,t,t,House,moderate,f,1,1,58,2,Washington,3.0,24,49,79,354
1838,20011,60.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,1,1,62,3,Washington,2.0,15,36,57,224
1839,20012,55.0,2,2.5,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,36,1,Washington,2.0,30,60,90,365
1840,20011,45.0,1,1.0,1.0,1.0,Real Bed,f,f,House,strict,f,3,3,0,4,Washington,1.0,29,59,89,364
1842,20011,89.0,3,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,3.0,21,51,81,356
1844,20011,37.0,2,1.0,1.0,1.0,Futon,f,t,House,flexible,f,1,1,7,2,Washington,2.0,18,48,78,78
1846,20011,45.0,1,1.0,1.0,1.0,Real Bed,f,f,House,strict,f,3,3,2,4,Washington,1.0,29,59,89,364
1847,20012,45.0,4,1.0,1.0,1.0,Futon,f,t,House,strict,f,2,3,3,2,Washington,4.0,2,32,62,337
1849,20012,65.0,1,1.0,1.0,1.0,Real Bed,t,t,House,strict,f,3,3,6,1,Washington,1.0,0,10,40,315
1851,20011,79.0,2,1.0,1.0,1.0,Real Bed,t,t,House,strict,f,2,2,20,1,Washington,2.0,0,0,0,258
1852,20012,65.0,1,0.0,1.0,1.0,Real Bed,t,t,House,strict,f,3,3,1,1,Washington,1.0,0,0,0,102
1853,20011,45.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,1,1,Washington,2.0,30,60,90,365
1857,20011,45.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,59,1,Washington,1.0,24,54,58,331
1858,20011,95.0,1,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,1.0,0,0,0,91
1859,20011,125.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,2,2,0,2,Washington,1.0,0,0,0,0
1861,20012,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,21,3,Washington,2.0,0,9,39,314
1862,20017,45.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,0,1,Washington,1.0,14,44,74,349
1863,20011,75.0,1,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,2,Washington,1.0,30,60,90,365
1864,20012,50.0,1,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,5,Washington,1.0,0,0,0,120
1867,20011,200.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,2,2,0,2,Washington,2.0,0,0,0,0
1869,20011,30.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,1,1,4,2,Washington,2.0,8,13,14,266
1872,20011,200.0,2,2.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1876,20012,90.0,4,1.0,1.0,2.0,Real Bed,t,t,House,flexible,f,1,1,52,1,Washington,2.0,15,39,69,344
1877,20012,65.0,2,1.5,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,1,2,Washington,2.0,30,60,90,365
1880,20012,70.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,11,1,Washington,2.0,21,51,81,356
1881,20012,60.0,2,1.5,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,8,2,Washington,2.0,24,54,84,359
1882,20012,100.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1883,20012,99.0,4,2.0,1.0,3.0,Real Bed,t,t,House,flexible,t,1,1,18,2,Washington,1.3333333333333333,13,27,49,290
1884,20012,60.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,3,3,12,1,Washington,2.0,0,0,0,123
1885,20012,99.0,12,1.0,1.0,8.0,Real Bed,f,f,House,moderate,f,4,4,1,1,Washington,1.5,30,60,90,365
1887,20012,60.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,3,3,17,1,Washington,2.0,0,0,19,294
1888,20012,55.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,3,3,8,1,Washington,2.0,10,40,70,345
1889,20012,65.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,4,4,1,3,Washington,2.0,30,60,90,365
1890,20012,75.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,2,1,Washington,2.0,30,60,90,365
1892,20910,47.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,2,3,12,1,Silver Spring,2.0,24,54,84,359
1895,20015,97.0,2,1.0,1.0,2.0,Real Bed,f,t,House,flexible,t,2,2,18,1,Washington,1.0,28,52,82,357
1897,20015,68.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,18,2,Washington,2.0,9,39,69,344
1899,20015,95.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,12,1,Washington,2.0,0,0,16,291
1902,20015,55.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,4,4,7,1,Washington,1.0,3,18,27,302
1903,20015,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1907,20015,59.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,t,1,1,5,7,Washington,2.0,0,0,13,288
1910,20015,78.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,2,1,Washington,2.0,29,59,89,364
1911,20015,90.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,2,Washington,2.0,18,34,63,336
1912,20015,58.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,16,2,Washington,2.0,0,0,16,291
1913,20020,76.0,1,1.5,1.0,1.0,Pull-out Sofa,f,t,House,flexible,t,2,2,2,1,Washington,1.0,30,60,90,365
1914,20020,42.0,1,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,28,3,Washington,1.0,8,8,8,281
1916,20020,55.0,2,1.5,1.0,1.0,Real Bed,t,t,House,moderate,f,2,2,25,1,Washington,2.0,0,0,10,285
1917,20020,50.0,1,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,2,2,2,7,Washington,1.0,0,29,59,334
1918,20020,58.0,2,0.5,1.0,1.0,Real Bed,f,f,Apartment,strict,t,8,8,25,1,Washington,2.0,18,48,74,200
