,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
0,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,House,flexible,f,18,26,0,1,Washington,2.0,0,0,8,283
1,20003,350.0,6,3.0,3.0,3.0,Real Bed,f,f,House,strict,f,1,1,65,2,Washington,2.0,12,38,68,343
4,20910,50.0,4,1.0,1.0,1.0,Real Bed,f,t,Townhouse,flexible,f,1,1,0,7,Silver Spring,4.0,16,46,76,351
5,20024,99.0,4,1.0,2.0,4.0,Real Bed,f,t,Boat,flexible,f,1,1,0,1,Washington,1.0,26,56,86,361
6,20012,100.0,4,2.0,2.0,2.0,Real Bed,f,t,Condominium,flexible,f,1,1,0,3,Washington,2.0,13,13,17,21
7,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
10,20912,97.0,4,1.5,2.0,2.0,Real Bed,f,f,House,moderate,f,1,1,5,4,Takoma Park,2.0,0,0,3,3
11,20910,55.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,1,3,Silver Spring,1.0,0,0,0,0
13,20910,99.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,7,0,7,Silver Spring,2.0,30,60,90,339
18,20712,40.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,0,1,Mount Rainier,2.0,0,0,0,0
20,20712,100.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,0,1,Mount Rainier,2.0,30,60,90,365
22,20912,129.0,7,3.0,4.0,3.0,Real Bed,f,f,House,flexible,f,1,1,0,14,Takoma Park,2.3333333333333335,0,0,30,120
23,20008,149.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,1,1,46,3,Washington,1.0,0,8,8,18
24,20005,150.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,moderate,f,2,2,84,2,Washington,2.0,16,46,76,351
25,20005,175.0,4,1.5,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,25,1,Washington,4.0,26,56,86,361
26,20001,239.0,3,1.0,2.0,2.0,Real Bed,f,t,House,strict,f,1,1,4,5,Washington,1.5,10,40,70,345
29,20001,80.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,3,3,19,1,Washington,2.0,9,34,64,123
33,20001,283.0,5,2.5,2.0,2.0,Real Bed,t,t,Loft,moderate,f,1,2,15,3,Washington,2.5,0,0,22,297
34,20005,127.0,3,1.0,1.0,3.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,3,Washington,1.0,0,0,0,0
36,20001,110.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,1,Washington,3.0,0,0,0,62
38,20009,480.0,9,2.5,3.0,5.0,Real Bed,f,t,House,strict,f,27,30,5,3,Washington,1.8,7,29,55,325
39,20005,372.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,1,1,33,3,Washington,2.0,1,21,51,326
40,20001,125.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,t,1,1,11,1,Washington,1.5,9,27,57,57
43,20001,90.0,5,1.0,0.0,3.0,Real Bed,f,t,Apartment,strict,f,27,30,29,3,Washington,1.6666666666666667,11,31,38,313
44,20001,110.0,3,1.0,0.0,2.0,Real Bed,f,t,Apartment,flexible,f,4,4,32,2,Washington,1.5,13,40,70,345
45,20001,100.0,3,1.0,2.0,3.0,Real Bed,f,t,Apartment,strict,f,1,1,1,3,Washington,1.0,0,0,0,0
46,20009,250.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,15,1,Washington,2.0,3,3,10,41
49,20032,400.0,2,1.0,1.0,1.0,Airbed,f,t,Apartment,moderate,f,1,1,0,2,Washington,2.0,30,60,90,365
51,20032,160.0,4,2.0,2.0,2.0,Real Bed,f,t,House,moderate,f,1,1,5,2,Washington,2.0,0,0,0,0
52,20032,130.0,4,2.5,2.0,2.0,Real Bed,f,t,Townhouse,strict,f,2,2,1,2,Washington,2.0,11,41,71,346
58,20032,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,30,60,90,365
70,20003,157.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,moderate,f,1,1,3,2,Washington,2.0,10,35,65,324
71,20003,128.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,9,1,Washington,3.0,5,18,37,301
72,20003,135.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,6,6,Washington,2.0,6,30,45,138
74,20003,102.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,6,5,Washington,2.0,5,30,60,335
75,20003,99.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,3.0,17,17,17,22
76,20003,195.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,0,0,0,167
77,20003,160.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,59,1,Washington,2.0,12,42,72,347
79,20003,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,t,1,1,0,1,Washington,2.0,2,11,19,294
80,20003,249.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,flexible,f,1,2,0,2,Washington,2.0,0,30,60,150
81,20003,88.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,3,Washington,2.0,1,1,1,25
86,20003,400.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,1.5,5,35,65,340
88,20019,215.0,10,2.0,4.0,4.0,Real Bed,f,t,House,strict,f,3,3,29,2,Washington,2.5,19,44,69,343
92,20019,65.0,4,2.0,2.0,2.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,0,0,0,29
94,20019,129.0,8,2.5,3.0,1.0,Real Bed,f,t,House,moderate,f,1,1,58,1,Washington,8.0,5,19,33,173
96,20005,299.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,34,3,Washington,2.5,13,39,69,159
97,20005,309.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,8,4,Washington,2.5,21,51,81,356
98,21403,375.0,7,1.0,2.0,4.0,Real Bed,f,f,Boat,flexible,f,1,2,0,1,Annapolis,1.75,30,60,90,365
99,20001,180.0,4,2.0,2.0,3.0,Real Bed,t,t,Apartment,moderate,f,2,2,48,7,Washington,1.3333333333333333,6,35,35,308
100,20005,149.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,t,1,3,32,3,Washington,4.0,2,29,59,334
101,20268,337.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,19,206,6,3,Washington,1.6666666666666667,13,42,42,42
102,20001,299.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,7,3,Washington,2.0,25,55,85,360
103,20001,249.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,6,4,Washington,3.0,30,60,90,365
104,20001,126.0,3,1.5,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,5,2,Washington,3.0,14,21,51,326
106,20001,299.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,2,3,Washington,2.0,30,60,90,365
107,20001,199.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,1,7,Washington,2.0,29,59,89,89
109,20001,165.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,0,1,Washington,2.0,30,60,90,365
110,20001,309.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,1,4,Washington,2.0,30,60,90,365
111,20001,115.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,0,1,Washington,2.0,0,0,30,305
112,20005,130.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,2,85,1,Washington,2.0,0,10,21,21
115,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
118,20001,250.0,4,1.0,2.0,2.0,Real Bed,f,t,Loft,strict,f,22,25,4,3,Washington,2.0,19,45,75,350
120,20001,311.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,19,206,3,3,Washington,1.6666666666666667,15,45,45,45
121,20001,95.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,35,2,Washington,2.0,1,16,46,49
123,20004,167.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,2,31,5,Washington,2.0,12,38,68,343
124,20001,165.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,2,0,1,Washington,3.0,0,0,0,138
127,20001,159.0,4,1.0,1.0,3.0,Real Bed,f,t,Apartment,strict,f,2,17,0,1,Washington,1.3333333333333333,25,55,85,360
128,20001,190.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,t,1,1,13,3,Washington,2.0,0,7,14,129
129,20005,246.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,19,206,0,3,Washington,1.5,27,57,57,57
130,20001,200.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,14,2,Washington,1.5,1,11,36,305
131,20005,215.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,34,1,Washington,1.5,22,48,78,353
132,20001,450.0,4,2.0,2.0,2.0,Real Bed,f,f,Condominium,moderate,f,1,1,0,1,Washington,2.0,30,60,90,365
133,20005,234.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,365
135,20001,225.0,4,2.0,2.0,2.0,Real Bed,f,f,Apartment,moderate,t,1,1,0,3,Washington,2.0,7,30,60,335
136,20001,249.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,4,4,Washington,3.0,30,60,90,365
137,20005,109.0,2,1.0,1.0,1.0,Real Bed,f,t,Condominium,flexible,f,1,1,0,1,Washington,2.0,0,30,60,60
138,20001,250.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,1,3,Washington,2.0,0,0,0,53
139,20001,135.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,2,2,Washington,4.0,0,0,0,182
141,20001,210.0,4,1.0,1.0,1.0,Pull-out Sofa,f,f,Apartment,strict,f,5,5,103,1,Washington,4.0,8,38,68,343
142,20001,300.0,10,2.0,3.0,6.0,Real Bed,f,t,House,strict,t,2,2,5,3,Washington,1.6666666666666667,11,27,48,299
143,20001,189.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,0,4,Washington,2.0,8,38,68,343
145,20001,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,0,10,10,285
146,20005,269.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,2,6,1,Washington,1.5,4,29,55,145
147,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,16,190,0,3,Washington,3.0,30,60,90,365
148,20001,120.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,2,2,3,1,Washington,2.0,0,4,30,305
150,20005,150.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,4,2,Washington,3.0,0,0,0,99
151,20001,95.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,4,4,70,2,Washington,3.0,6,24,54,323
152,20005,119.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,0,1,Washington,2.0,2,2,2,2
155,20001,295.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,1,1,28,1,Washington,2.0,21,43,71,346
156,20001,149.0,2,1.0,1.0,1.0,Real Bed,f,t,Loft,flexible,f,1,1,9,2,Washington,2.0,7,24,54,329
158,20001,180.0,5,1.0,2.0,3.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,2,Washington,1.6666666666666667,11,35,65,335
159,20001,150.0,2,1.0,0.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,3,3,Washington,1.0,19,49,79,169
160,20001,150.0,6,1.0,0.0,3.0,Real Bed,f,t,Apartment,strict,f,27,30,24,3,Washington,2.0,12,33,59,334
161,20001,155.0,5,2.5,2.0,2.0,Real Bed,t,t,Apartment,moderate,f,1,1,23,2,Washington,2.5,0,0,0,0
163,20005,130.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,4,1,Washington,2.0,0,3,33,302
164,20001,120.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,3,1,Washington,3.0,1,1,11,14
166,20001,149.0,2,1.0,1.0,2.0,Real Bed,f,f,Apartment,flexible,f,1,1,47,1,Washington,1.0,11,25,36,255
167,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
168,20001,180.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,6,1,Washington,4.0,0,3,9,284
170,20001,229.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,6,29,2,Washington,4.0,5,18,48,323
172,20005,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
174,20001,259.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,3,4,Washington,2.0,30,60,90,365
175,20001,120.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,1,2,Washington,2.0,0,3,3,3
176,20001,119.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,3,5,Washington,1.5,0,0,0,0
177,20005,139.0,2,1.5,1.0,1.0,Real Bed,f,t,Condominium,moderate,f,1,1,0,1,Washington,2.0,0,1,30,114
180,20001,150.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,25,2,Washington,2.0,13,40,70,345
181,20001,295.0,5,1.0,0.0,3.0,Real Bed,f,t,Apartment,strict,f,27,30,45,3,Washington,1.6666666666666667,4,25,55,330
182,20001,210.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,5,5,57,1,Washington,3.0,6,30,60,335
183,20001,329.0,6,1.5,2.0,2.0,Real Bed,f,t,Apartment,strict,f,27,30,21,3,Washington,3.0,18,40,70,345
184,20001,125.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,2,Washington,2.0,0,0,0,11
185,20001,150.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,2.0,19,49,75,350
186,20009,175.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,139,2,Washington,1.5,3,23,48,270
187,20001,129.0,3,1.0,1.0,2.0,Real Bed,f,f,Apartment,flexible,t,1,1,7,1,Washington,1.5,0,0,0,41
188,20001,239.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,0,5,Washington,2.0,30,60,90,365
189,20001,250.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,1,2,17,2,Washington,2.0,18,48,78,353
190,20005,168.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,4,4,136,1,Washington,2.0,2,23,53,328
193,20001,290.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,32,3,Washington,2.0,19,49,79,354
194,20001,725.0,6,1.0,1.0,3.0,Real Bed,f,f,Apartment,strict,f,1,1,0,5,Washington,2.0,27,57,87,87
196,20001,99.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,3,1,Washington,2.0,11,30,60,335
197,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,365
198,20005,120.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,3,3,Washington,2.0,0,0,0,62
199,20001,290.0,2,1.0,1.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,1,Washington,1.0,0,0,0,0
200,20001,145.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,5,1,Washington,3.0,4,11,34,34
201,20001,210.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,5,5,87,1,Washington,4.0,12,42,72,347
204,20001,399.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,1,1,16,1,Washington,4.0,30,60,90,365
205,20001,239.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,0,4,Washington,2.0,30,60,90,365
207,20004,199.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,7,Washington,1.0,11,11,11,92
208,20001,135.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,2,27,5,Washington,2.0,10,10,10,230
209,20004,295.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,20,1,Washington,4.0,25,55,85,360
210,20001,429.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,19,206,0,3,Washington,1.6666666666666667,17,46,46,72
211,20005,400.0,8,2.5,4.0,4.0,Real Bed,f,t,House,strict,f,4,5,26,3,Washington,2.0,7,19,42,278
212,20001,295.0,6,2.0,2.0,3.0,Real Bed,f,t,Apartment,strict,t,4,6,43,1,Washington,2.0,4,21,51,321
213,20001,179.0,4,1.5,1.0,2.0,Real Bed,f,f,Apartment,moderate,f,1,1,163,2,Washington,2.0,7,21,48,305
214,20005,309.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,23,4,Washington,2.0,18,48,78,353
218,20005,269.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,5,2,Washington,2.0,19,43,73,348
219,20037,150.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,2,2,73,2,Washington,2.0,1,25,55,223
220,20001,269.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,3,3,Washington,2.0,30,60,90,365
221,20001,185.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,41,49,8,3,Washington,4.0,29,59,89,364
222,20001,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,t,1,2,1,7,Washington,2.0,0,0,0,30
223,20001,220.0,8,2.0,2.0,3.0,Real Bed,f,t,Apartment,strict,f,2,4,0,1,Washington,2.6666666666666665,15,34,57,321
224,20001,99.0,3,1.0,1.0,2.0,Real Bed,f,f,Apartment,moderate,f,1,1,4,3,"Washington, D.C.",1.5,0,2,2,2
226,20001,250.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,2,11,6,1,Washington,2.0,30,60,90,365
227,20001,249.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,4,3,Washington,2.0,30,60,90,365
228,20001,259.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,19,206,2,3,Washington,1.5,27,27,27,27
229,20001,300.0,5,2.0,2.0,2.0,Real Bed,f,f,Apartment,flexible,f,1,1,2,1,Washington,2.5,0,7,19,293
230,20001,289.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,1,5,Washington,3.0,30,60,90,365
231,20001,200.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,15,1,Washington,2.0,13,40,70,345
232,20001,249.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,0,3,Washington,2.0,30,60,90,365
233,20001,81.0,1,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,1,1,Washington,1.0,0,0,0,40
234,20001,200.0,2,1.0,1.0,1.0,Real Bed,f,f,Condominium,flexible,f,1,1,0,2,Washington,2.0,14,44,66,66
235,20001,194.0,8,1.0,2.0,4.0,Real Bed,t,t,Apartment,strict,t,2,2,8,1,Washington,2.0,6,36,66,156
237,20001,159.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,1,1,18,4,Washington,2.0,4,15,28,296
238,20005,85.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,1,1,3,Washington,2.0,0,0,0,0
239,20001,100.0,4,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,1,1,18,1,Washington,4.0,0,0,0,0
240,20001,189.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,0,3,Washington,2.0,16,16,16,290
241,20002,150.0,3,2.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,1,Washington,3.0,28,58,88,363
242,20001,175.0,5,1.0,2.0,3.0,Real Bed,f,f,Apartment,moderate,t,1,1,2,2,Washington,1.6666666666666667,12,35,58,317
243,20001,120.0,2,1.0,1.0,1.0,Real Bed,f,t,Condominium,flexible,f,1,1,1,4,Washington,2.0,9,30,60,313
244,20005,155.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,1,2,Washington,3.0,6,23,23,284
245,20001,629.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,2.5,30,60,90,90
246,20001,311.0,5,2.0,2.0,3.0,Real Bed,f,t,Apartment,moderate,f,19,206,3,3,Washington,1.6666666666666667,13,43,43,43
247,20005,571.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,365
248,20001,339.0,6,2.0,2.0,2.0,Real Bed,f,f,Apartment,strict,f,1,2,47,3,Washington,3.0,13,43,73,348
249,20001,210.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,moderate,f,5,5,28,1,Washington,2.0,7,37,67,342
250,20001,299.0,4,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,2,4,Washington,2.0,24,54,84,359
252,20004,135.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,3,3,0,1,Washington,1.0,4,18,32,304
253,20001,245.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,strict,t,4,6,3,1,Washington,2.0,5,32,62,337
254,20001,249.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,1,3,Washington,3.0,30,60,90,365
256,20001,149.0,4,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,3,3,0,3,Washington,4.0,30,60,90,365
258,20001,295.0,6,2.0,2.0,2.0,Real Bed,f,t,Apartment,strict,t,4,6,50,1,Washington,3.0,5,21,45,303
259,20001,400.0,6,2.0,2.0,2.0,Real Bed,t,t,Apartment,flexible,f,2,2,0,1,Washington,3.0,3,3,3,143
261,20001,99.0,1,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,2,2,54,4,Washington,1.0,0,15,45,320
262,20001,179.0,8,1.0,2.0,4.0,Real Bed,t,t,Apartment,strict,t,2,2,35,1,Washington,2.0,3,16,29,203
263,20001,150.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,53,1,Washington,4.0,2,8,38,284
264,20001,140.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,4,2,Washington,4.0,6,10,19,288
265,20001,179.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,2,6,1,2,Washington,3.0,8,20,50,325
266,20001,135.0,2,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,2,2,4,2,Washington,1.0,7,24,54,329
267,20001,250.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,0,4,Washington,1.5,8,8,8,8
269,20037,170.0,6,1.0,2.0,2.0,Real Bed,t,t,Townhouse,moderate,t,3,3,2,2,Washington,3.0,4,19,48,48
270,20005,299.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,5,4,Washington,2.5,28,58,88,363
271,20005,150.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,1,7,Washington,2.0,0,0,0,115
272,20001,250.0,4,1.5,1.0,1.0,Real Bed,f,f,Loft,strict,f,5,5,12,1,Washington,4.0,13,41,71,346
273,20001,105.0,2,1.0,0.0,1.0,Real Bed,t,t,Apartment,flexible,f,1,1,11,1,Washington,2.0,0,0,0,0
274,20001,120.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,3,1,Washington,3.0,0,11,37,37
275,20005,399.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,365
276,20001,629.0,5,2.0,2.0,2.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,2.5,30,60,90,365
277,20001,569.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,16,190,0,3,Washington,3.0,30,60,90,90
279,20001,110.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,6,2,Washington,2.0,1,20,50,50
280,20001,259.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,19,206,4,3,Washington,1.5,27,27,27,27
282,20001,289.0,8,1.5,3.0,3.0,Real Bed,f,t,House,moderate,f,4,4,14,1,Washington,2.6666666666666665,13,40,70,345
283,20005,124.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,3,3,4,Washington,2.0,0,0,17,292
284,20037,259.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,1,4,Washington,2.0,30,60,90,365
285,20037,80.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,3,4,0,1,Washington,2.0,9,21,51,51
286,20037,96.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,12,3,Washington,2.0,0,0,14,289
287,20037,189.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,strict,f,29,32,47,2,Washington,2.0,7,31,61,336
288,20037,289.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,0,4,Washington,3.0,29,59,89,179
289,20052,299.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,0,4,Washington,3.0,30,60,90,365
290,20037,170.0,6,1.0,2.0,2.0,Real Bed,t,t,Townhouse,moderate,t,3,3,9,2,Washington,3.0,8,27,57,57
291,20037,130.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,2,Washington,2.0,2,6,10,37
292,20037,149.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,2,4,Washington,4.0,0,10,19,118
293,20037,259.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,19,206,0,3,Washington,1.5,27,57,57,57
294,20037,349.0,6,2.0,2.0,3.0,Real Bed,f,t,House,strict,f,1,1,19,2,Washington,2.0,0,20,50,320
296,20006,125.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,2,1,1,Washington,2.0,2,8,24,27
