,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
1035,20036,149.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,29,32,30,3,Washington,2.0,4,21,51,289
1036,20009,100.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,1,1,1,2,Washington,2.0,0,8,21,268
1037,20009,130.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,strict,f,2,2,100,1,Washington,2.0,1,8,36,269
1038,20036,90.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,3,41,5,Washington,2.0,8,27,45,320
1039,20009,149.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,12,3,Washington,2.0,0,0,0,244
1040,20037,299.0,3,2.5,3.0,2.0,Real Bed,f,t,House,strict,f,2,2,0,1,Washington,1.5,9,39,69,344
1042,20036,150.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,4,4,5,2,Washington,3.0,4,32,62,62
1043,20009,199.0,6,1.0,2.0,4.0,Real Bed,f,t,Apartment,strict,f,4,4,0,1,Washington,1.5,10,24,54,329
1045,20009,180.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,1,2,Washington,2.0,1,31,61,336
1046,20009,240.0,3,1.0,2.0,2.0,Real Bed,f,t,Apartment,strict,f,2,2,21,1,Washington,1.5,12,42,72,347
1050,20009,149.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,6,6,1,1,Washington,2.0,14,40,70,345
1052,20037,170.0,5,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,1,1,6,3,Washington,2.5,0,0,0,0
1054,20009,145.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1055,20009,109.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,45,1,Washington,2.0,16,46,76,351
1057,20037,160.0,2,1.0,0.0,1.0,Real Bed,t,t,Apartment,moderate,f,3,3,26,2,Washington,2.0,6,29,59,59
1058,20009,219.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,strict,f,1,1,12,2,Washington,2.0,28,58,88,88
1060,20009,120.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,3,1,Washington,2.0,0,0,0,157
1062,20009,95.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,6,3,Washington,2.0,0,0,0,242
1064,20009,100.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,10,1,Washington,2.0,0,0,14,233
1067,20005,98.0,3,1.5,1.0,3.0,Real Bed,f,t,Apartment,moderate,f,1,1,20,1,Washington,1.0,0,0,0,238
1068,20009,143.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,f,2,2,10,7,Dupont Circle,1.5,0,0,0,0
1069,20009,145.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,2,3,60,3,Washington,2.0,5,7,27,260
1070,20009,150.0,11,3.5,5.0,5.0,Real Bed,f,f,House,strict,f,12,12,3,2,Washington,2.2,26,56,86,176
1074,20037,125.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,6,2,Washington,3.0,4,4,4,4
1075,20009,142.0,3,1.0,1.0,2.0,Real Bed,t,t,Apartment,strict,f,1,1,74,1,Washington,1.5,1,7,25,269
1076,20008,525.0,6,2.5,3.0,4.0,Real Bed,f,t,House,strict,f,3,3,12,1,Washington,1.5,17,47,77,352
1077,20005,159.0,2,1.0,0.0,1.0,Real Bed,f,t,House,moderate,f,1,1,1,2,Washington,2.0,5,28,58,332
1078,20009,170.0,4,1.0,1.0,3.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,1.3333333333333333,5,22,36,305
1080,20037,246.0,3,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,19,206,0,3,Washington,1.5,28,57,57,57
1082,20009,99.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,11,1,Washington,2.0,3,15,35,37
1083,20009,90.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,0,2,Washington,2.0,2,6,6,6
1084,20005,229.0,6,2.0,2.0,3.0,Real Bed,f,f,Condominium,moderate,f,6,6,0,1,Washington,2.0,16,46,76,76
1085,20009,149.0,2,1.0,0.0,1.0,Real Bed,t,t,Apartment,moderate,f,1,1,14,2,Washington,2.0,4,15,27,110
1086,20009,136.0,3,1.0,1.0,2.0,Real Bed,t,t,Apartment,strict,f,1,1,41,1,Washington,1.5,0,18,44,134
1087,20005,250.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,2,Washington,2.0,0,0,0,0
1090,20037,120.0,3,1.0,0.0,1.0,Real Bed,f,t,Apartment,moderate,t,1,1,5,2,Washington,3.0,0,5,26,27
1091,20036,175.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,31,1,"Washington, D.C.",3.0,26,56,86,361
1092,20009,122.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,3,2,Washington,2.0,2,2,2,43
1094,20009,169.0,6,1.0,2.0,4.0,Real Bed,f,f,Apartment,strict,f,4,4,1,1,Washington,1.5,16,46,76,345
1095,20005,85.0,2,1.0,0.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,31,5,Washington,1.0,0,21,34,37
1097,20009,200.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,3.0,0,0,0,133
1098,20009,105.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,6,7,12,7,Washington,2.0,1,18,41,120
1101,20009,189.0,6,1.0,2.0,4.0,Real Bed,f,t,Apartment,strict,f,6,6,2,1,Washington,1.5,19,43,73,348
1104,20009,150.0,6,1.0,2.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,8,2,Washington,3.0,0,0,0,270
1105,20009,175.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,41,49,3,3,Washington,2.0,29,59,89,364
1106,20036,150.0,2,2.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,4,3,Washington,2.0,0,0,10,110
1107,20009,160.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,2,2,1,2,Washington,2.0,19,30,30,56
1108,20005,79.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,4,3,Washington,2.0,0,0,0,0
1110,20005,150.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,6,1,Washington,2.0,5,34,64,73
1113,20036,150.0,2,1.0,0.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,3,3,Washington,2.0,0,0,0,121
1114,20037,100.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,0,5,Washington,4.0,0,0,0,0
1115,20009,215.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,34,2,Washington,4.0,8,22,22,238
1117,20009,130.0,3,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,3.0,10,33,63,338
1119,20036,130.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,2,2,1,Washington,2.0,25,55,85,360
1120,20036,120.0,4,1.5,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,3,4,Washington,4.0,0,0,11,286
1121,20009,105.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,8,1,Washington,2.0,0,0,0,0
